tenure,MonthlyCharges,TotalCharges,TenureInYears,ChargeRatio,gender_Male,SeniorCitizen_Yes,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
-1.2774445836787656,-1.1603229160349193,-0.9926672209068343,-1.2774445836787656,2.969633280892205,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0.06632741908223598,-0.2596289419448806,-0.1721981329410328,0.06632741908223606,-0.4546438931687321,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
-1.2367242199587352,-0.3626603559551803,-0.9581216184613621,-1.2367242199587354,1.1969821228593742,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
0.5142514200025698,-0.7465354629935549,-0.19370641032566585,0.5142514200025698,-0.4799262292875416,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
-1.2367242199587352,0.19736523310080326,-0.9389296171027665,-1.2367242199587354,1.0850095656274248,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
-0.9924020376385531,1.1595456961969886,-0.6438360513856013,-0.9924020376385532,-0.13224533280189896,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1
-0.4223169455581282,0.8089065291619363,-0.14577052647252983,-0.42231694555812826,-0.39968282033590996,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
-0.9109613101984924,-1.1636465100352518,-0.8726400032147437,-0.9109613101984924,-0.21312906650281044,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.1779947632379461,1.330710787214099,0.338066445709169,-0.17799476323794605,-0.4395850756816821,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1
1.2064976032430856,-0.28621769394753876,0.5330307077864886,1.206497603243086,-0.5042234432837241,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.7888002190384014,-0.4922805219681379,-0.7466566471699855,-0.7888002190384015,-0.26084403856759797,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
-0.6666391278783103,-1.5225946620711341,-0.8616542369198235,-0.6666391278783104,-0.35632437303361936,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0
1.0436161483629645,1.182810854199314,1.5006384728348567,1.0436161483629642,-0.4986957652391039,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0
0.6771328748826912,1.2941512532104444,1.2161556572941103,0.6771328748826911,-0.4883622023339154,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
-0.30015585439803716,1.3539759452164248,0.17923608963803278,-0.3001558543980371,-0.4223836910972775,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
1.4915401492832983,1.611554480242174,2.477467222444021,1.4915401492832983,-0.510416595647761,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
0.7992939660427822,-1.4660935640654862,-0.5545160358672637,0.7992939660427821,-0.4897879935685726,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0
1.5729808767233588,1.393859073220412,2.2511780845860048,1.572980876723359,-0.5100305414874685,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
-0.9109613101984924,-0.31779183695069496,-0.7727312972916637,-0.9109613101984924,-0.19217804192463908,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
-0.46303730927815856,0.8404806721650927,-0.18393393147295561,-0.46303730927815856,-0.39038887428364377,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
-1.2774445836787656,-0.8346107040023594,-0.988343505658231,-1.2774445836787656,2.969662514876864,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
-0.8295205827584317,-1.4943441130683104,-0.9166051281661013,-0.8295205827584318,-0.21540319775551708,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0
-1.2774445836787656,-1.4827115340671475,-0.9969468166120843,-1.2774445836787656,2.9695763443334324,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1
1.0436161483629645,-0.1615829189350795,0.5405972094715441,1.0436161483629642,-0.500724043474179,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
0.6771328748826912,-0.17155370093607614,0.30464589161920075,0.6771328748826911,-0.4902165944283165,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
-0.0965540357978854,-0.31446824295036285,-0.33054317403528505,-0.09655403579788542,-0.43349654969214985,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.5956921474426305,1.1495749141959914,1.0894663885557025,0.5956921474426304,-0.48720049435925505,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1
-1.2774445836787656,-1.1486903370337564,-0.9925128025050985,-1.2774445836787656,2.969634651656567,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1.6137012404433893,0.8471278601657574,1.804335349505875,1.6137012404433893,-0.5110346699156163,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0
-0.62591876415828,-0.0020504069191315333,-0.5235661762050687,-0.62591876415828,-0.35207663183502846,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1
1.5729808767233588,1.0498670941860242,1.9797105343344215,1.572980876723359,-0.5107906132417485,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0
